,angle,distance,time
1524,323.359375,4.64125,2.3960132598876953
1525,324.453125,4.53325,2.3960139751434326
1526,325.53125,4.4935,2.39601469039917
1527,326.609375,4.38225,2.396015167236328
1528,328.640625,1.171,2.3960156440734863
1529,329.765625,1.10675,2.3960161209106445
1530,336.3125,1.02525,2.3960165977478027
1531,337.421875,0.99375,2.396017074584961
1532,338.5,0.9815,2.396017551422119
1533,339.578125,0.976,2.3960182666778564
1534,340.6875,0.96225,2.3960187435150146
1535,341.734375,0.95775,2.396019220352173
1536,342.921875,0.95275,2.396019697189331
1537,344.03125,0.941,2.3960201740264893
1538,345.03125,0.93675,2.3960206508636475
1539,346.109375,0.93125,2.3960211277008057
1540,347.25,0.92,2.396021842956543
1541,348.359375,0.953,2.396022319793701
1542,349.375,1.00575,2.3960227966308594
1543,350.25,1.09575,2.3960235118865967
1544,5.640625,0.57675,2.545233726501465
1545,6.59375,0.57475,2.5452349185943604
1546,7.765625,0.57425,2.5452356338500977
1547,8.6875,0.57325,2.545236349105835
1548,9.796875,0.573,2.5452373027801514
1549,10.890625,0.574,2.5452377796173096
1550,12.078125,0.57375,2.5452382564544678
1551,12.921875,0.57425,2.545239210128784
1552,13.984375,0.57475,2.5452401638031006
1553,15.171875,0.57625,2.545241117477417
1554,16.109375,0.5765,2.545241594314575
1555,17.265625,0.57825,2.5452423095703125
1556,18.296875,0.5795,2.54524302482605
1557,19.328125,0.5815,2.545243740081787
1558,20.40625,0.584,2.5452446937561035
1559,21.421875,0.586,2.545245409011841
1560,22.703125,0.5885,2.545245885848999
1561,23.625,0.5935,2.5452466011047363
1562,47.796875,0.89,2.5452475547790527
1563,48.875,0.872,2.545248031616211
1564,49.984375,0.86625,2.5452487468719482
1565,51.0,0.86875,2.5452494621276855
1566,52.109375,0.8805,2.5452499389648438
1567,64.203125,1.7225,2.54525089263916
1568,66.359375,1.6575,2.5452516078948975
1569,67.421875,1.62925,2.5452523231506348
1570,68.5,1.621,2.545252799987793
1571,69.625,1.60675,2.545253276824951
1572,70.703125,1.6405,2.5452542304992676
1573,71.703125,1.706,2.545254707336426
1574,72.765625,1.73,2.545255422592163
1575,84.21875,3.00575,2.5452561378479004
1576,101.25,4.842,2.5452566146850586
1577,102.328125,4.811,2.545257568359375
1578,103.390625,4.8,2.545258045196533
1579,134.578125,4.3505,2.5452587604522705
1580,135.65625,4.36225,2.5452592372894287
1581,136.71875,4.385,2.545259714126587
1582,142.15625,3.79275,2.545260190963745
1583,143.21875,3.71275,2.5452611446380615
1584,144.3125,3.7825,2.545269250869751
1585,147.46875,4.374,2.545289993286133
1586,162.546875,5.62275,2.545290470123291
1587,163.609375,5.43775,2.545290946960449
1588,164.8125,3.788,2.5452914237976074
1589,165.921875,3.606,2.545292377471924
1590,167.015625,3.504,2.545292615890503
1591,168.09375,3.46275,2.545293092727661
1592,169.1875,3.325,2.5452938079833984
1593,170.25,3.21725,2.5452942848205566
1594,171.1875,5.21075,2.545295238494873
1595,172.234375,5.345,2.5452961921691895
1596,173.328125,5.32325,2.5452966690063477
1597,174.40625,5.287,2.545297145843506
1598,175.484375,5.246,2.545297622680664
1599,176.5625,5.2435,2.5452980995178223
1600,184.359375,2.81625,2.5452988147735596
1601,186.46875,2.90625,2.545299530029297
1602,187.578125,2.93825,2.545300245285034
1603,190.640625,4.192,2.5453007221221924
1604,199.46875,2.57725,2.5453014373779297
1605,200.625,2.25025,2.545301914215088
1606,201.71875,2.2705,2.5453028678894043
1607,202.890625,2.41025,2.5453035831451416
1608,203.953125,2.41525,2.5453040599823
1609,205.015625,2.4425,2.545304536819458
1610,206.859375,5.345,2.5453052520751953
1611,209.03125,1.116,2.545306444168091
1612,210.046875,1.11525,2.545306921005249
1613,211.171875,1.12525,2.5453073978424072
1614,212.25,1.13425,2.5453078746795654
1615,213.8125,0.82275,2.5453085899353027
1616,214.875,0.82375,2.545309066772461
1617,216.03125,0.7875,2.5453100204467773
1618,217.125,0.78,2.5453104972839355
1619,218.140625,0.7765,2.5453109741210938
1620,219.28125,0.7625,2.545311450958252
1621,220.359375,0.79475,2.5453121662139893
1622,221.484375,0.79325,2.5453126430511475
1623,253.234375,0.19075,2.5453133583068848
1624,254.3125,0.1885,2.545314073562622
