,angle,distance,unix_time,robot_x,robot_y,robot_dir,x,y
180,337.421875,1.21425,1777323602.3657944,-0.17097597504920223,-0.25016377139760393,2.6971689470885942,0.6511429406524012,0.6434376783245974
181,338.78125,1.02425,1777323602.3757036,-0.1701991237454905,-0.25023923686898075,2.6917467274051305,-0.7571213194171162,0.5891715080753511
182,340.046875,1.0375,1777323602.3856127,-0.16942227244177877,-0.2503147023403576,2.6863245077216673,-1.1607063599154441,-0.5565206917029153
183,341.171875,1.057,1777323602.3955216,-0.16864543982945107,-0.25039016599600195,2.680902418499194,-0.3282925166588062,-1.2952642305893585
184,342.453125,1.044,1777323602.4054308,-0.16786858852573933,-0.25046563146737877,2.6754801988157304,0.7737427021662553,-0.7013582763856079
185,343.703125,1.02375,1777323602.41534,-0.1670917372220276,-0.2505410969387556,2.670057979132267,0.5476356504860587,0.48241785399913617
186,344.890625,1.00575,1777323602.4252489,-0.16631490460969992,-0.2506165605944,2.664635889909794,-0.5665452436002734,0.6720690512211795
187,346.109375,0.98575,1777323602.435158,-0.16553805330598817,-0.2506920260657768,2.6592136702263303,-1.1499656367014688,-0.3017351015034322
188,347.359375,0.97525,1777323602.4450672,-0.16476120200227642,-0.2507674915371536,2.653791450542867,-0.4290376829074585,-1.1895275802394658
189,348.4375,0.9635,1777323602.4549763,-0.1639843506985647,-0.25084295700853043,2.6483692308594033,0.5260382435978894,-0.9233019292591734
190,350.921875,0.94125,1777323602.4648852,-0.163207518086237,-0.25091842066417486,2.64294714163693,-0.29049557361679945,0.6816850928501419
191,353.421875,0.92,1777323602.4747944,-0.16243066678252527,-0.2509938861355516,2.637524921953467,-0.6126503190218319,-1.0533044648627163
192,355.109375,0.7035,1777323602.4847035,-0.16165381547881352,-0.25106935160692845,2.632102702270003,0.4862893581114288,-0.5250801065013395
193,356.328125,0.68925,1777323602.4946127,-0.1608769641751018,-0.25114481707830527,2.62668048258654,0.31273839384354585,0.24960867032729261
194,357.53125,0.67825,1777323602.5045216,-0.16009970269224602,-0.25122078365496575,2.621452646038383,-0.4492041060545434,0.3623276712013154
195,358.890625,0.6685,1777323602.5144308,-0.15927347544147388,-0.2513541505204419,2.6383947744156586,-0.8076698389744315,-0.4140637253992322
196,0.046875,0.66,1777323602.52434,-0.15844724819070174,-0.251487517385918,2.6553369027929348,-0.7557573147780493,0.02926269962810052
197,1.234375,0.64975,1777323602.5342488,-0.15762104081932066,-0.2516208810425287,2.6722786235351506,-0.6263117916856431,-0.7016253727449594
198,2.5,0.641,1777323602.544158,-0.15679481356854852,-0.2517542479080049,2.6892207519124263,0.13740281554386075,-0.8212529353732503
199,3.75,0.63275,1777323602.5540671,-0.15596858631777638,-0.251887614773481,2.7061628802897024,0.46733866129658813,-0.14298106046472814
