angle,distance,unix_time
239.078125,0.6295,1777067895.9807518
240.171875,0.619,1777067895.9994965
241.390625,0.62675,1777067896.0182412
242.546875,0.63825,1777067896.0369859
243.6875,0.64525,1777067896.0557306
244.90625,0.63675,1777067896.074475
246.171875,0.6355,1777067896.0932198
247.328125,0.63325,1777067896.1119645
248.59375,0.6215,1777067896.1307092
250.0625,0.60025,1777067896.1494539
251.25,0.59625,1777067896.1681986
252.328125,0.5885,1777067896.186943
253.578125,0.5985,1777067896.2056878
254.8125,0.5835,1777067896.2244325
255.953125,0.58425,1777067896.2431772
257.109375,0.57575,1777067896.261922
258.484375,0.58075,1777067896.2806664
259.625,0.57925,1777067896.299411
260.8125,0.578,1777067896.3181558
261.96875,0.5765,1777067896.3369005
263.078125,0.58375,1777067896.3556452
264.25,0.595,1777067896.37439
265.453125,0.6145,1777067896.3931344
315.1875,1.73425,1777067896.411879
316.4375,1.6775,1777067896.4306238
317.640625,1.63675,1777067896.4493685
318.859375,1.60125,1777067896.4681132
320.0625,1.56375,1777067896.486858
321.265625,1.5285,1777067896.5056024
322.453125,1.49575,1777067896.524347
323.734375,1.46225,1777067896.5430918
324.984375,1.43575,1777067896.5618365
326.171875,1.41,1777067896.5805812
327.375,1.3845,1777067896.5993257
328.578125,1.35675,1777067896.6180704
329.8125,1.33625,1777067896.636815
330.984375,1.31425,1777067896.6555598
332.25,1.2945,1777067896.6743045
333.40625,1.27825,1777067896.6930492
334.6875,1.26025,1777067896.7117937
335.875,1.243,1777067896.7305384
337.03125,1.2265,1777067896.749283
338.265625,1.209,1777067896.7680278
339.46875,1.19775,1777067896.7867725
340.671875,1.182,1777067896.8055172
341.890625,1.17225,1777067896.8242617
343.0625,1.16,1777067896.8430064
344.265625,1.17025,1777067896.861751
