timestamp_us,ax,ay,az,gx,gy,gz
1777323589.8801382,-0.04,-0.3,9.65,-0.04,-0.3,9.65
1777323589.894138,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323589.9081397,-0.11,-0.15,9.73,-0.11,-0.15,9.73
1777323589.9221394,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323589.9351218,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323589.949141,-0.08,-0.27,9.73,-0.08,-0.27,9.73
1777323589.9631631,-0.04,-0.38,9.65,-0.04,-0.38,9.65
1777323589.9771469,-0.04,-0.15,9.69,-0.04,-0.15,9.69
1777323589.9901464,-0.11,-0.3,9.65,-0.11,-0.3,9.65
1777323590.0041525,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323590.0191436,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323590.033147,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323590.046153,-0.11,-0.42,9.73,-0.11,-0.42,9.73
1777323590.0591457,-0.11,-0.23,9.65,-0.11,-0.23,9.65
1777323590.0741456,-0.19,-0.34,9.69,-0.19,-0.34,9.69
1777323590.0881515,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323590.1011465,-0.04,-0.23,9.73,-0.04,-0.23,9.73
1777323590.1141465,-0.04,-0.34,9.73,-0.04,-0.34,9.73
1777323590.1291475,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323590.143151,-0.15,-0.38,9.69,-0.15,-0.38,9.69
1777323590.1571498,-0.04,-0.3,9.69,-0.04,-0.3,9.69
1777323590.170114,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323590.184165,-0.11,-0.3,9.65,-0.11,-0.3,9.65
1777323590.1981533,-0.11,-0.15,9.69,-0.11,-0.15,9.69
1777323590.212177,-0.19,-0.42,9.65,-0.19,-0.42,9.65
1777323590.225129,-0.11,-0.15,9.69,-0.11,-0.15,9.69
1777323590.2391582,-0.04,-0.3,9.77,-0.04,-0.3,9.77
1777323590.253161,-0.04,-0.19,9.65,-0.04,-0.19,9.65
1777323590.2671614,-0.08,-0.23,9.73,-0.08,-0.23,9.73
1777323590.280183,-0.04,-0.19,9.69,-0.04,-0.19,9.69
1777323590.2941616,-0.11,-0.27,9.61,-0.11,-0.27,9.61
1777323590.3091645,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323590.3231637,-0.04,-0.19,9.73,-0.04,-0.19,9.73
1777323590.3361712,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323590.3491657,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323590.3641691,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323590.3781643,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323590.391163,-0.08,-0.38,9.69,-0.08,-0.38,9.69
1777323590.4041705,-0.08,-0.34,9.65,-0.08,-0.34,9.65
1777323590.419167,-0.08,-0.23,9.65,-0.08,-0.23,9.65
1777323590.4331663,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323590.447168,-0.04,-0.34,9.73,-0.04,-0.34,9.73
1777323590.4600945,-0.11,-0.38,9.69,-0.11,-0.38,9.69
1777323590.4741793,-0.11,-0.27,9.65,-0.11,-0.27,9.65
1777323590.4881787,-0.15,-0.34,9.69,-0.15,-0.34,9.69
1777323590.5021718,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323590.5150898,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323590.529172,-0.08,-0.34,9.69,-0.08,-0.34,9.69
1777323590.54317,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323590.557173,-0.11,-0.38,9.73,-0.11,-0.38,9.73
1777323590.570171,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323590.5841823,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323590.5991733,-0.11,-0.34,9.73,-0.11,-0.34,9.73
1777323590.6133869,-0.11,-0.19,9.69,-0.11,-0.19,9.69
1777323590.6262085,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323590.639902,-0.11,-0.23,9.73,-0.11,-0.23,9.73
1777323590.6543624,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323590.668186,-0.08,-0.23,9.65,-0.08,-0.23,9.65
1777323590.6811774,-0.11,-0.38,9.73,-0.11,-0.38,9.73
1777323590.6941183,-0.04,-0.23,9.69,-0.04,-0.23,9.69
1777323590.7091205,-0.11,-0.19,9.69,-0.11,-0.19,9.69
1777323590.7231193,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323590.7371185,-0.08,-0.15,9.69,-0.08,-0.15,9.69
1777323590.7500637,-0.11,-0.38,9.73,-0.11,-0.38,9.73
1777323590.764117,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323590.7781193,-0.15,-0.23,9.69,-0.15,-0.23,9.69
1777323590.7921743,0.0,-0.38,9.69,0.0,-0.38,9.69
1777323590.8050954,-0.04,-0.34,9.73,-0.04,-0.34,9.73
1777323590.8191807,-0.11,-0.34,9.69,-0.11,-0.34,9.69
1777323590.833186,-0.08,-0.23,9.69,-0.08,-0.23,9.69
1777323590.847184,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323590.8601916,-0.04,-0.19,9.65,-0.04,-0.19,9.65
1777323590.8741846,-0.08,-0.42,9.69,-0.08,-0.42,9.69
1777323590.889186,-0.11,-0.27,9.65,-0.11,-0.27,9.65
1777323590.9031842,-0.15,-0.3,9.69,-0.15,-0.3,9.69
1777323590.916197,-0.11,-0.27,9.69,-0.11,-0.27,9.69
1777323590.929188,-0.08,-0.19,9.69,-0.08,-0.19,9.69
1777323590.9441955,-0.04,-0.34,9.69,-0.04,-0.34,9.69
1777323590.9582136,-0.08,-0.27,9.69,-0.08,-0.27,9.69
1777323590.9711952,-0.08,-0.3,9.69,-0.08,-0.3,9.69
1777323590.9841967,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323590.999194,-0.04,-0.27,9.69,-0.04,-0.27,9.69
1777323591.0131931,-0.08,-0.34,9.73,-0.08,-0.34,9.73
1777323591.0271928,-0.11,-0.23,9.69,-0.11,-0.23,9.69
1777323591.0400527,-0.08,-0.27,9.65,-0.08,-0.27,9.65
1777323591.0542006,-0.11,-0.19,9.69,-0.11,-0.19,9.69
1777323591.068202,-0.04,-0.27,9.69,-0.04,-0.27,9.69
1777323591.0821812,0.0,-0.27,9.65,0.0,-0.27,9.65
1777323591.0950701,-0.08,-0.34,9.77,-0.08,-0.34,9.77
1777323591.1091795,0.0,-0.23,9.73,0.0,-0.23,9.73
1777323591.1232023,-0.08,-0.23,9.61,-0.08,-0.23,9.61
1777323591.1371984,-0.04,-0.3,9.73,-0.04,-0.3,9.73
1777323591.15007,-0.11,-0.3,9.65,-0.11,-0.3,9.65
